actual,predicted,test_id,text
depression,anxiety,1,does anybody else hate positive and motivational talks?
bipolar,depression,5,it's my 31st birthday
ptsd,bipolar,11,anniversaries
none,ptsd,12,pop
ptsd,bipolar,13,fuck it all.
ptsd,anxiety,15,my father is going into critical condition and i had to say the most difficult m a few more hours. my anxiety is killing me right now making it hard to travel.
adhd,bipolar,17,the cough drop sign
anxiety,ptsd,18,brain never stops
none,ptsd,23,sexual assaults against women are increasing never as an individual with her own identity.
ptsd,anxiety,24,i feel guilt and shame that my personality causes men to sexualized me. anyone relate?
bipolar,ptsd,33,how much benefit do you get from having an animal? i'm considering a therapy dog.
bipolar,ptsd,35,can’t get started (angsty rant)
anxiety,depression,36,i'm 25 and i'm tired.
anxiety,depression,38,does anyone else sleep with a stuffed animal?
bipolar,ptsd,40,sometimes i can’t talk right
anxiety,bipolar,41,anyone else develop poor memory?
bipolar,adhd,45,finally put a couple good days together - this sub has really helped
ptsd,bipolar,49,eternal sunshine. (discussion)
adhd,none,50,"""what kind of music do you listen to?"" no answer"
adhd,ptsd,51,oh boy am i angry
bipolar,ptsd,52,my doctor gave me validation today and an eight month hiatus
anxiety,ptsd,54,today at therapy
ptsd,anxiety,60,"i did everything right, and it didn't matter"
bipolar,anxiety,62,i finally received help.
bipolar,adhd,63,meds are smoothing me out and it's making me antsy. want to do something just to feel.
anxiety,ptsd,64,hey you
anxiety,depression,66,i did it guys!!
adhd,bipolar,68,"tips on regulating emotions, specifically the ""cringe"" feeling?"
bipolar,adhd,69,getting better
adhd,ptsd,76,about to leave my [29/f] fiancé [28/m] due to hianymore. any advice would be greatly appreciated!
anxiety,depression,83,i finally sought help and it did not go well.
ptsd,adhd,84,after a bit of scrolling... i’m crying because reading some of these posts really make me feel validated and like i’m not alone.
ptsd,anxiety,85,would anyone be interested in telling their story?
none,bipolar,88,"i hate to do it, but i have to ask/vent after ourists and when (if ever) is it going to stop?"
depression,anxiety,89,anyone else sick and tired of socialising ? and it being thrown back in your face ?
depression,ptsd,91,yes i can do it
adhd,depression,92,"i showered and dressed within 10 minutes, it used to take an hour"
anxiety,depression,94,yesterday i rented a car
anxiety,depression,96,would anybody agree we need more positive posts on this subreddit?
none,anxiety,98,i am going to buenos aires for the first time on monday!
depression,adhd,101,"why can't people understand i'm not just being lazy, i just feel unable to move"
ptsd,none,104,am i even human?
depression,bipolar,105,"love is dangerous, especially when you are mentally ill."
ptsd,depression,106,people assume they would be much stronger in our position
bipolar,ptsd,109,all i want to do is sleep
anxiety,ptsd,111,kid cudi checks himself into rehab
bipolar,ptsd,112,this is a half life psa for when you're explaining drugs to people
depression,ptsd,113,"if you care, will you read?"
depression,ptsd,117,everyone always leaves
adhd,anxiety,118,last night i threw an apocalyptic adult tantrum... omething i could improve through behavioral therapy?
depression,bipolar,119,the death of etika just shows how much of a joke people take mental illness
ptsd,depression,120,i am really struggling to cope and i don't know what to do anymore
bipolar,depression,124,so so so sick of waking up every day wanting it to end.
ptsd,anxiety,125,my current so drinks (not excessively). i can't stop hating alcohol and thinking poorly of people who drink it.
anxiety,depression,131,a tip from my therapist
depression,anxiety,133,anyone else crying secretly this holiday?
depression,bipolar,134,just got my hospital bill from suicide attempt
adhd,depression,136,i feel like my life is a constant cycle by 5-6 months of failure and depression
anxiety,adhd,139,"after seven years in college, i graduated yesterday!"
adhd,none,140,eureka!! diesel engines are my jam!!!!!
bipolar,ptsd,142,can't believe i missed this tw: suicidal ideation
depression,adhd,146,it. is. not. cool. to. be. depressed.
anxiety,adhd,147,i'm proud of myself being rejected
bipolar,ptsd,153,no cure
anxiety,depression,154,i’m sorry if this gets asked a lot but... doe but not “crazy” enough to actually have one?
bipolar,adhd,157,i cleaned my kitchen counters off!
ptsd,adhd,159,my short term memory
depression,adhd,163,i gave up on finding love
ptsd,anxiety,164,just stopped myself from going into a full blown panic attack and he didn’t even notice.
adhd,ptsd,167,i bit the bullet
bipolar,none,175,"my pdoc had me run 23andme to get raw data. turns out i don't epressants are 7xs less effective. well, that explains my life."
adhd,bipolar,182,why can't i just do shit
bipolar,adhd,183,yay! paranoia!
bipolar,adhd,185,lpt you can request to be switched to a different generic at your pharmacy (us)
ptsd,bipolar,191,"i wish i wouldn’t get so agitated, and i wish i had the strength to tell people why"
adhd,depression,193,does curiosity kill you guys?
depression,anxiety,194,does anyone else suffer from pangs of sevng it as much better than it actually was.
none,ptsd,195,is there any words for this meaning?
anxiety,depression,197,is anyone else tired of being tired?
anxiety,depression,198,anyone else feel like their not actually living in reality sometimes?
ptsd,depression,200,"0730hrs, ive finally drank and smoked the ""voices"" away."
bipolar,adhd,206,just sharing my recent talk with my doctor
bipolar,ptsd,210,i feel “dumb” from my meds
bipolar,depression,211,do you ever want to go to the hospital just to hide from life?
ptsd,bipolar,212,looking for understanding friends
depression,anxiety,213,here's to devin
anxiety,none,216,my name is kyle
