actual,predicted,test_id,text
bipolar,adhd,3,"overwhelmed, exhausted and soon to be on snapped"
ptsd,anxiety,4,i visited a psychiatrist today for the first time.
anxiety,adhd,11,i did a presentation at college yesterday and got top marks!
depression,anxiety,13,"alone for christmas every year, well.... i am with family, but i feel alone"
ptsd,anxiety,17,"i find it funny. i am called 'crazy' or 'freak' when others learned about my mental disorder .. when in reality, the entire world is full of crazy"
ptsd,anxiety,18,has anyone used an isolation tank?
depression,bipolar,20,it's time for me to go.
depression,ptsd,22,basically got called ugly tonight
ptsd,anxiety,23,i disclosed!!! i did it! i actually did it!!!!!
bipolar,ptsd,25,anyone here have problems with memory?
adhd,none,26,"""what kind of music do you listen to?"" no answer"
adhd,depression,29,"people are jealous of my accommodations, they don’t understand how deprecating it can be."
adhd,anxiety,33,"woman next to me was bitching about people who “don’t dress well/dress horribly”. i was feeling extra impulsive today and asked her: “is it strange that i cannot bring myself to care about clothes? i’ve tried really hard to, but i can’t”"
depression,anxiety,34,"does anyone else feel like they’re in a trance, of sorts? as if they’re just floating through life - which feels intangible in itself - with very little or no purpose?"
depression,anxiety,36,anyone else crying secretly this holiday?
adhd,none,40,can i give you all one big cyber hug??
anxiety,bipolar,41,brain never stops
bipolar,ptsd,47,i'm about to lose myself. i don't know if i can do this again [trigger warning]
ptsd,adhd,50,friendly reminder that irregular periods can be a physical symptom.
bipolar,depression,51,boyfriend says he’s not attracted to me anymore bc my depression
anxiety,adhd,52,i'm on a fucking roll!
ptsd,depression,54,does it ever get better?
depression,ptsd,56,held a gun to my head last night. still have it sitting beside me.
anxiety,bipolar,60,i hate myself
bipolar,adhd,62,"ugh, the demands of holiday socializing"
adhd,ptsd,63,we need a light moment - kinda funny story about son in school
bipolar,depression,67,for the first time since i was 9 i can say i am not depressed and i don’t know how to deal with it.
adhd,ptsd,78,i bit the bullet
none,bipolar,81,what are heebie jeebies?
depression,anxiety,84,realizing you aren't your best friends best friend
