actual,predicted,test_id,text
adhd,none,2,"""what kind of music do you listen to?"" no answer"
adhd,anxiety,9,do not rely on willpower
adhd,depression,11,finish it friday
adhd,depression,17,only you would appreciate this
adhd,depression,18,when the sun goes down i become the person i want to be.
adhd,ptsd,28,i don’t know talking is hard
adhd,anxiety,29,small win made my boss smile
adhd,depression,32,i bit the bullet
adhd,bipolar,36,i feel like i’m “retarded” sometimes.
adhd,anxiety,37,the cough drop sign
adhd,bipolar,40,forcing yourself vs. understanding your limitations?
adhd,ptsd,44,"tips on regulating emotions, specifically the ""cringe"" feeling?"
adhd,ptsd,46,we need a light moment - kinda funny story about son in school
adhd,bipolar,54,"after over a month unemployed, i finally have a really promising interview this morning."
adhd,bipolar,58,my wife is insanely needy.
adhd,ptsd,61,waiting for people to stop talking.
adhd,anxiety,67,interview for dream job in one hour. wish me luck!
adhd,depression,71,not wanting to be a problem sometimes makes things worse.
adhd,depression,74,why can't i just do shit
adhd,anxiety,76,can i give you all one big cyber hug??
adhd,ptsd,79,difficulty expressing emotions?
adhd,depression,80,i cleaned my room and holy shit!
adhd,bipolar,81,"i know that the future is coming, but i don't believe it."
adhd,depression,88,wasted days
adhd,none,91,dating experiments: a report on the latest failure
adhd,anxiety,105,i don’t know any of you but i feel like you’re all my friends.
adhd,ptsd,106,i constantly feel like i need to leave a good impression on people?
adhd,depression,109,i wish i could sleep so bad it makes me want to cry
adhd,bipolar,111,terrifying
adhd,anxiety,113,this condition is debilitating. just paid over $1000 in penalty and interest for my taxes.
adhd,depression,115,don't you hate it when you lose track of what you were daydreaming about and can't get back to it
adhd,depression,118,"it hurts when you think someone is starting to understand you and then they hit you with a: ""yeah but, everybody struggles with motivation/procrastination/etc"""
adhd,anxiety,132,anyone feel scared to get back into hobbies after you abandoned them?
adhd,anxiety,139,i got a 3.48 gpa over my last five college classes!!!
adhd,ptsd,141,i burn out and melt down every couple of months.
adhd,depression,143,""" if you cared than you wouldn't have forgot """
adhd,bipolar,148,medication guilt: an honest conversation
adhd,anxiety,149,my wife and i made a bad choice
adhd,depression,161,tonight i got ready for tomorrow morning
adhd,depression,168,i wish i could just grab all of you and move to another planet
adhd,bipolar,169,"why can't i do ""unhealthy"" stuff responsibly?"
adhd,bipolar,182,newly diagnosed? rewatch ms. doubtfire .
adhd,bipolar,185,possible cleaning tip
adhd,depression,186,guys this morning i had to be somewhere at 12:30 and i woke up at 11
adhd,anxiety,190,do you guys have a hard time making friends?
adhd,bipolar,192,psa (usa): don't take the last week as a baseline for your self-esteem in dealing with life
adhd,depression,195,i feel like my life is a constant cycle of 1-2 weeks of positivity and organization followed by 5-6 months of failure and depression
adhd,bipolar,198,rejuvenate
adhd,none,204,help with teeth?
adhd,anxiety,221,my life feels like i'm constantly trying to over-come one hurdle after another.
adhd,ptsd,223,oh boy am i angry
adhd,bipolar,228,psa: for people in the us
adhd,bipolar,230,i've finally found a manager who gets it. i'm trying not to cry.
adhd,bipolar,238,"i wrote a loooong comment in reply to someone asking why ww give children 'drugs', and his comment got removed. i still have to let this off my chest, so i'm leaving it here."
depression,adhd,248,please brush your teeth.
depression,anxiety,259,i do fit in. i do have friends. i do have a loving family. i do have people who care about me. i do have a support system.
depression,bipolar,261,it's time for me to go.
depression,adhd,262,life does not always get better for everyone. perseverance does not always pay off. sometimes the only thing sticking it out leads to is more suffering.
depression,bipolar,263,music is keeping me here
